,Zip_Code,Year_Built,Energy_Star,Site_EUI,Nat_Gas,Elec_Use,GHG,Water_Use,NGI,EI,WI,GHGI,OPSFT,Age
1,-1.0403190319028421,0.006368691589611988,0.7339975934646529,-0.03724860412409116,-0.021128511222043157,-0.0582515737229634,-0.04560211245077467,-0.1271117467085902,-0.016434498505549473,-0.012848522333884824,-0.10483159583711373,-0.03738400999802597,0.9522663288418296,-0.006368691589610491
2,-1.0368028302503305,0.4985117588055518,0.7668090550823408,-0.03792081285448398,-0.02016303643549541,0.003869356286715671,-0.04165392863969897,-0.00040671945748492944,-0.017372221066913038,-0.007096370764135921,-0.04026423004553794,-0.03778168801667918,-1.0660188943362514,-0.49851175880555043
3,-0.848686041840953,0.35789945388671185,-1.5299932581558062,-0.03304729955913602,-0.017940995539685478,0.004302091205398959,-0.0397688758942922,-0.05101133934155162,-0.013440386762930462,0.019025260950476023,-0.047608205477720704,-0.03173063759293438,-0.5713875988525878,-0.35789945388671046
15,-1.06669054429668,-1.4349074338284975,,-0.034622788770994194,-0.01984989262968147,-0.06863926201880477,-0.045054990243127084,-0.13565776350216383,-0.012072696508029395,-0.026547791148462997,-0.11887803387723514,-0.03439820747147786,1.5939971359953675,1.4349074338284993
20,-1.0631743426441684,-0.6615397567748778,,-0.03380353438082795,-0.010266723408124503,0.14508937307636002,-0.026219693171713413,0.008362365559758996,-0.013675725959162574,0.008066453955892804,-0.07756431280881447,-0.03291297400184599,-1.5939925244727122,0.6615397567748794
23,-0.5814547162500618,1.2367263596294615,,-0.03463329203240659,-0.01444843801752805,0.003972534123768433,-0.03685635810368858,-0.01797903258743252,-0.013746524634914832,-0.02119141364615855,-0.06744398563266651,-0.03553540900717379,-1.2941609742937283,-1.2367263596294604
24,-0.5814547162500618,1.2718794358591716,,-0.034843357260654344,-0.020464413100193497,-0.01556137340539649,-0.03843680319601532,-0.059380950141916564,-0.017489050676270403,-0.014678088964640812,-0.07005137590601376,-0.03320629756015861,-0.8879038392116964,-1.2718794358591703
26,-0.5814547162500618,1.2718794358591716,,-0.03510593879596404,-0.018934367873293938,-0.016808562389015527,-0.041667987454456504,-0.08572348639229006,-0.01367525126929402,0.01598397709615325,-0.06623449032200818,-0.032220361876096844,-0.06246955231496096,-1.2718794358591703
27,-0.5814547162500618,1.2718794358591716,,-0.03195496037224768,-0.009743124431841273,0.05046582804855672,-0.030561523796000228,0.015233094469441233,-0.011629791393947687,-0.008334366064603043,-0.06221527205368916,-0.032383023558981816,-1.4177399614798871,-1.2718794358591703
28,-0.5814547162500618,1.2367263596294615,,-0.034528259418282706,-0.017924407728791183,-0.03255872287664734,-0.04161761003490865,-0.08354743310832247,-0.01295857052535878,-0.010727207318652763,-0.07164135847728591,-0.033866847676719304,-0.35612767464232964,-1.2367263596294604
29,-0.5814547162500618,1.2718794358591716,,-0.03613525841437805,-0.017037383047541297,-0.025974809039429437,-0.040540939138060415,-0.055122168034904655,-0.01297814871453821,-0.014769394995359873,-0.058593599701770215,-0.03423824540013447,-0.6727189647098417,-1.2718794358591703
30,-0.5814547162500618,1.3070325120888815,,-0.03350944306128108,0.0013678240629152575,0.1669297858985844,-0.015358087203617617,0.14738963596228544,-0.012987218904079072,-0.019405982891805836,-0.07273683155764132,-0.03465107641416016,-1.842799832753017,-1.3070325120888804
31,-0.5814547162500618,1.3421855883185916,-1.6284276430088696,-0.03213351581625828,-0.013412169112596704,0.11812772102268108,-0.03022059753812989,0.04165871225210011,-0.01343971700224308,0.026273357054861605,-0.04664009641726355,-0.0310975626296612,-1.3548863674632168,-1.3421855883185903
32,-0.5814547162500618,1.3773386645483015,,-0.03441272354274644,-0.01091225853099169,0.06613642124097785,-0.03075014622733055,0.0015428512932663724,-0.014182146918398713,-0.01841480850533847,-0.08103906334598117,-0.03571082453791578,-1.6157967382543474,-1.3773386645483003
33,-0.5814547162500618,1.3421855883185916,-1.398747411685055,-0.0301273928864922,-0.01335619817910299,0.026260333632984377,-0.03481431526015596,-0.00339879272294038,-0.011904759406002904,-0.0016168348796267763,-0.051331144847338944,-0.03206003016584348,-1.148159637789511,-1.3421855883185903
